Chahgos,,,,,,,,,
Plant Name,Scientific name,Nutrient names,Nutrient types,Role of nutrient,Deficiency effects,Improvement,Optimal level ppm,,
tea plant,Camellia sinensis,Nitrogen,Macronutrient,Chlorophyll Synthesis Vegetative Growth,Pale Older Leaves Stunted Shoots,Urea Compost Manure,"20,000-30,000",,
tea plant,Camellia sinensis,Phosphorus,Macronutrient,Root Development Energy Transfer,Dark Green Leaves Purpling Stems,Single Superphosphate,1500-3000,,
tea plant,Camellia sinensis,Potassium,Macronutrient,Water Regulation Disease Resistance,Leaf Margin Scorch Bronzing,Muriate Of Potash,"15,000-25,000",,
tea plant,Camellia sinensis,Calcium,Secondary nutrient,Cell Wall Strength Root Tips,Downward Curl Tip Dieback,Lime Gypsum,"5,000-10,000",,
tea plant,Camellia sinensis,Magnesium,Secondary nutrient,Photosynthesis Chlorophyll,Interveinal Chlorosis Older Leaves,Magnesium Sulfate,"2,000-4,000",,
tea plant,Camellia sinensis,Sulfur,Secondary nutrient,Protein Synthesis Flavor Compounds,Pale Young Leaves Thin Shoots,Ammonium Sulfate,"2,000-3,500",,
tea plant,Camellia sinensis,Iron,Micronutrient,Cholophyll Formation,Yellow Young Leaves Iron Chlorosis,Ferrous Sulfate Chelate,50-150,,
tea plant,Camellia sinensis,Manganese,Micronutrient,Photosynthesis Enzyme Activation,Grayish Spots Freckles On Leaves,Manganese Sulfate,300-800,,
tea plant,Camellia sinensis,Zinc,Micronutrient,Hormons Synthesis Growth,Rosette Formation Small Leaves,Zinc Sulfate Spray,20-50,,_
tea plant,Camellia sinensis,Copper,Micronutrient,Lignin Formation,Dieback Of Young Shoots,Copper Sulfate,5-15.,,
tea plant,Camellia sinensis,Boron,Micronutrient,Cell Division Pollen Formation,Brittle Leaves Hollow Stems,Borax Foilar Spray,20-40,,
tea plant,Camellia sinensis,Molybdenum,Micronutrient,Nitrogen Fixation,Whiptail Leaves Rare,Sodium Molybdate,0.1-0.5,,
,,,,,,,,,
Neem,,,,,,,,,
Plant Name,Scientific name,Nutrient names,Nutrient types,Role of nutrient,Deficiency effects,Improvement,Optimal level ppm,,
nimtree,Azadirachta indica,Nitrogen,Macronutrient,Leaf Expansion Biomass Growth,Yellow Older Leaves Slow Growth,Urea Neem Cake Manure,"15,000-25,000",,
nimtree,Azadirachta indica,Phosphorus,Macronutrient,Root Growth Seed Formation,Stunted Roots Poor Flowering,Rock Phosphate,"1,000-2,500",,
nimtree,Azadirachta indica,Potassium,Macronutrient,Drought Tolerance Stem Strength,Leaf Margin Necrosis,Potassium Sulfate,"10,000-20,000",,
nimtree,Azadirachta indica,Calcium,Secondary nutrient,Cell Structure,Tip Burn Distorted Growth,Agriculture Lime,"4,000-8,000",,
nimtree,Azadirachta indica,Magnesium,Secondary nutrient,Chlorophyll Production,Interveinal Yellowing,Epsom Salts,"1,500-3,000",,
nimtree,Azadirachta indica,Sulfur,Secondary nutrient,Amino Acid Synthesis,Pale Leaves Reduced Azadirachtin,Gypsum,"1,500-2,500",,
nimtree,Azadirachta indica,Iron,Micronutrient,Enzyme Function,Chlorosis In Young Leaves,Iron Chelate,40-100,,
nimtree,Azadirachta indica,Manganese,Micronutrient,Photosystem Ii,Speckled Chlorosis,Manganese Sulfate,25-75,,
nimtree,Azadirachta indica,Zinc,Micronutrient,Growth Hormones,Short Internodes Small Leaves,Zinc Sulfate ,15-40,,
nimtree,Azadirachta indica,Copper,Micronutrient,Reproductive Growth,Poor Fruit Set,Copper Chelate,4-12.,,
nimtree,Azadirachta indica,Boron,Micronutrient,Flower Retention,Flower Drop Fruit Cracking,Borox,15-35,,
,,,,,,,,,
Tulsi,,,,,,,,,
Plant Name,Scientific name,Nutrient names,Nutrient types,Role of nutrient,Deficiency effects,Improvement,Optimal level ppm,,
Holy basil,Ocimum tenuiflorum,Nitrogen,Macronutrient,Vegetative Growth Essential Oils,Pale Leaves Leggy Growth,Compost Blood Meal,"18,000-28,000",,
Holy basil,Ocimum tenuiflorum,Phosphorus,Macronutrient,Root Health Flowering,Weak Stems Few Flowers,Bone Meal,"1,200-2,800",,
Holy basil,Ocimum tenuiflorum,Potassium,Macronutrient,Stress Tolerance Oil Quality,Leaf Edge Burn,Wood Ash Kelp,"12,000-22,000",,
Holy basil,Ocimum tenuiflorum,Calcium,Secondary nutrient,Cell Walls,Blossom End Rot Equivalent,Crushed Eggshells,"3,500-7,000",,
Holy basil,Ocimum tenuiflorum,Magnesium,Secondary nutrient,Photosynthesis,Yellow Between Veins,Epsom Salt Solution,"1,800-3,500",,
Holy basil,Ocimum tenuiflorum,Sulfur,Secondary nutrient,Volatile Oil Compounds,Reduced Aroma,Elemental Sulfur,"1,200-2,200",,
Holy basil,Ocimum tenuiflorum,Iron,Micronutrient,Chlorophyll Synthesis,Yellow New Growth,Chelated Iron,45-120,,
Holy basil,Ocimum tenuiflorum,Manganese,Micronutrient,Enzyme Activation,Mottled Leaves,Magnanese Sulfur,30-80,,
Holy basil,Ocimum tenuiflorum,Zinc,Micronutrient,Hormone Regulation,Stunted Shoots,Zinc Chelate,18-45,,
Holy basil,Ocimum tenuiflorum,Copper,Micronutrient,Respiration,Wilting Tips,Copper Sulfate,5-15.,,
Holy basil,Ocimum tenuiflorum,Boron,Micronutrient,Pollen Viability,Brittle Stems,Boric Acid Spray,20-40,,
